# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2017-18,Health and Human Services,,,34.828,25.448,0,80.206,34.691,23.028,0,66.912
2017-18,Health and Human Services,Department of Health Care Services,4260,19.992,13.562,0,69.664,,,,
2017-18,Health and Human Services,Department of Social Services,5180,8.466,0.042,0,7.571,,,,
2017-18,Health and Human Services,"State-Local Realignment, 1991",5195,0,5.488,0,0,,,,
2017-18,Health and Human Services,"State-Local Realignment, 2011",5196,0,4.739,0,0,,,,
2017-18,Health and Human Services,Department of Developmental Services,4300,4.208,0.004,0,0.056,,,,
2017-18,Health and Human Services,Department of Public Health,4265,0.136,1.055,0,1.594,,,,
2017-18,Health and Human Services,Department of State Hospitals,4440,1.502,0,0,0,,,,
2017-18,Health and Human Services,Department of Child Support Services,5175,0.314,0,0,0.523,,,,
2017-18,Health and Human Services,Department of Rehabilitation,5160,0.063,0.001,0,0.376,,,,
2017-18,Health and Human Services,Children and Families Commission,4250,0,0.302,0,0,,,,
2017-18,Health and Human Services,"Dept of Community Services, Development",4700,0,0,0,0.253,,,,
2017-18,Health and Human Services,Department of Aging,4170,0.034,0.005,0,0.151,,,,
2017-18,Health and Human Services,"Statewide Health Planning, Development",4140,0.033,0.121,0,0.001,,,,
2017-18,Health and Human Services,Department of Managed Health Care,4150,0,0.077,0,0,,,,
2017-18,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.045,0,0,,,,
