# Citizen Ledger — public employee compensation — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — Government Compensation in California, reporting year 2024, as filed by each employer
# Accounting basis: Positions as reported by each employer to the State Controller for the calendar year, including part-year and part-time positions
# Gate tier: AS FILED — AS FILED — UNRECONCILED. A published control exists and can never be reconciled to: the source is a live database with no as-of-date total, so there is no instant at which the two can be aligned
# Units: dollars; positions are positions, NOT persons
# Measured as: POSITIONS AS REPORTED BY EACH EMPLOYER TO THE STATE CONTROLLER FOR THE CALENDAR YEAR, INCLUDING PART-YEAR AND PART-TIME POSITIONS · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-25
# Exported: 2026-07-29
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A person holding two positions appears in two rows. This is a count of positions reported, never a headcount of people.
# retirement_includes_unfunded_liability is an employer-level reporting flag. Two identically-paid positions at two employers show different totals for a pure reporting reason, and the unfunded component is not separately reported, so it cannot be netted out.
# Do NOT compute an average or median over these rows. There is no hours or FTE field, and a quarter of city rows show pay below half the position's own stated minimum. See docs/V23A_COMPENSATION_BUILD_FINDING.md.
# Vintage: {'earliest': '2025-06-24', 'latest': '2026-07-22', 'staleMonths': 14, 'ageDaysAtBuild': 3}
slug,name,layer,county,positions_reported,total_wages_usd,retirement_and_health_usd,population,elected_positions,retirement_includes_unfunded_liability
city-adelanto,Adelanto,city,San Bernardino,37,2466479,520378,37150,6,false
city-agoura-hills,Agoura Hills,city,Los Angeles,92,5089973,1537212,19904,5,false
city-alameda,Alameda,city,Alameda,1191,86055553,23125140,79020,7,false
city-albany,Albany,city,Alameda,174,18463702,6314570,20578,6,false
city-alhambra,Alhambra,city,Los Angeles,708,48687139,11841106,82374,6,false
city-aliso-viejo,Aliso Viejo,city,Orange,65,4471076,835631,50213,5,false
city-alturas,Alturas,city,Modoc,46,1608133,471840,2657,11,false
city-amador,Amador,city,Amador,10,94268,0,196,6,false
city-american-canyon,American Canyon,city,Napa,190,9317535,2071777,22396,7,false
city-anaheim,Anaheim,city,Orange,3675,322618871,72085804,341773,9,true
city-anderson,Anderson,city,Shasta,101,7778208,2108686,10967,6,false
city-angels,Angels,city,Calaveras,64,3143629,724437,3570,5,false
city-antioch,Antioch,city,Contra Costa,789,46049737,14191259,116781,12,false
city-apple-valley,Apple Valley,city,San Bernardino,363,12676650,927513,75262,5,false
city-arcadia,Arcadia,city,Los Angeles,494,40287770,14266033,56116,6,true
city-arcata,Arcata,city,Humboldt,290,11782395,3278397,19001,5,false
city-arroyo-grande,Arroyo Grande,city,San Luis Obispo,110,9348703,1992245,17910,7,false
city-artesia,Artesia,city,Los Angeles,73,3699306,867636,16359,6,false
city-arvin,Arvin,city,Kern,73,5375066,1133994,19991,7,false
city-atascadero,Atascadero,city,San Luis Obispo,220,15284040,4901629,30134,6,false
city-atherton,Atherton,city,San Mateo,60,7766954,1474087,7007,5,false
city-atwater,Atwater,city,Merced,145,7969590,1912890,31862,6,false
city-auburn,Auburn,city,Placer,120,9830220,3031053,13286,6,false
city-avalon,Avalon,city,Los Angeles,134,6739503,1694853,3383,6,false
city-avenal,Avenal,city,Kings,82,4252490,1412181,13315,5,false
city-azusa,Azusa,city,Los Angeles,433,36936712,13332083,48988,8,false
city-bakersfield,Bakersfield,city,Kern,2306,178366159,52275813,419238,8,false
city-baldwin-park,Baldwin Park,city,Los Angeles,409,20914223,4325614,70848,7,false
city-barstow,Barstow,city,San Bernardino,247,19132649,4050204,24811,6,false
city-beaumont,Beaumont,city,Riverside,278,23543062,6370485,59708,7,false
city-bell,Bell,city,Los Angeles,224,10742413,2939498,33315,6,false
city-bell-gardens,Bell Gardens,city,Los Angeles,341,20594615,5330571,38471,5,false
city-bellflower,Bellflower,city,Los Angeles,246,11108180,2606446,76656,5,false
city-belmont,Belmont,city,San Mateo,261,19295570,5321531,28206,6,false
city-belvedere,Belvedere,city,Marin,30,2755806,816485,2058,5,false
city-benicia,Benicia,city,Solano,459,31025978,7786819,26195,6,false
city-berkeley,Berkeley,city,Alameda,2753,199774312,114416344,128348,31,false
city-beverly-hills,Beverly Hills,city,Los Angeles,1134,144317654,57919093,31945,8,true
city-big-bear-lake,Big Bear Lake,city,San Bernardino,131,10905037,5111458,4953,6,false
city-biggs,Biggs,city,Butte,16,659057,176654,1973,7,false
city-bishop,Bishop,city,Inyo,167,4592059,1749085,3850,8,false
city-blue-lake,Blue Lake,city,Humboldt,39,766150,239536,1136,5,false
city-blythe,Blythe,city,Riverside,121,5858351,1467642,15400,7,false
city-bradbury,Bradbury,city,Los Angeles,8,335325,90893,902,5,false
city-brawley,Brawley,city,Imperial,236,11085164,2472506,28952,10,false
city-brea,Brea,city,Orange,517,42508371,8206450,47900,6,false
city-brentwood,Brentwood,city,Contra Costa,581,42633606,12280482,65747,5,false
city-brisbane,Brisbane,city,San Mateo,196,14946805,4394262,4676,6,false
city-buellton,Buellton,city,Santa Barbara,39,2534555,587350,5091,5,false
city-buena-park,Buena Park,city,Orange,526,37151531,8118958,82667,7,false
city-burbank,Burbank,city,Los Angeles,1869,180346975,37655179,106146,7,false
city-burlingame,Burlingame,city,San Mateo,444,30348983,8130391,31552,7,false
city-calabasas,Calabasas,city,Los Angeles,261,10577820,3071941,22797,5,false
city-calexico,Calexico,city,Imperial,181,12579215,3992132,40073,7,false
city-california-city,California City,city,Kern,153,9656715,1615618,13317,10,false
city-calimesa,Calimesa,city,Riverside,53,3395117,449338,10994,5,false
city-calipatria,Calipatria,city,Imperial,51,1398502,253923,6061,5,false
city-calistoga,Calistoga,city,Napa,148,9161515,2111249,5160,5,false
city-camarillo,Camarillo,city,Ventura,215,19490071,5857577,68927,5,false
city-campbell,Campbell,city,Santa Clara,401,27633588,7129669,43281,5,false
city-canyon-lake,Canyon Lake,city,Riverside,39,2729855,494902,11004,5,false
city-capitola,Capitola,city,Santa Cruz,163,8277102,1881079,9670,7,false
city-carlsbad,Carlsbad,city,San Diego,1473,101168761,24874067,116368,17,false
city-carmel-by-the-sea,Carmel-By-The-Sea,city,Monterey,95,9726979,2605222,3049,8,false
city-carpinteria,Carpinteria,city,Santa Barbara,131,4769229,1176706,12735,5,false
city-carson,Carson,city,Los Angeles,1002,43375042,11362451,91812,7,false
city-cathedral-city,Cathedral City,city,Riverside,249,28368463,7488513,51651,1,false
city-ceres,Ceres,city,Stanislaus,243,15257735,8818454,49305,7,false
city-cerritos,Cerritos,city,Los Angeles,629,24663272,8004146,47871,5,false
city-chico,Chico,city,Butte,507,46361488,12110815,113847,7,false
city-chino-hills,Chino Hills,city,San Bernardino,324,18691137,7725638,77314,5,false
city-chowchilla,Chowchilla,city,Madera,106,5786401,1405103,18742,5,false
city-chula-vista,Chula Vista,city,San Diego,1833,150580708,35403756,281401,9,false
city-citrus-heights,Citrus Heights,city,Sacramento,253,17668287,5372338,86280,5,false
city-claremont,Claremont,city,Los Angeles,301,18544648,3991619,37299,5,false
city-clayton,Clayton,city,Contra Costa,39,3145674,684232,10743,5,false
city-clearlake,Clearlake,city,Lake,80,5591208,1303483,16533,8,false
city-cloverdale,Cloverdale,city,Sonoma,54,5259752,1724898,8678,5,false
city-clovis,Clovis,city,Fresno,864,75702354,30682995,129121,5,false
city-coachella,Coachella,city,Riverside,119,9420377,2427910,44384,9,false
city-coalinga,Coalinga,city,Fresno,138,8870716,2407332,17608,9,true
city-colfax,Colfax,city,Placer,23,927189,232323,1996,6,false
city-colma,Colma,city,San Mateo,95,7347061,1872019,1411,5,false
city-colton,Colton,city,San Bernardino,502,43863514,7547924,53278,6,false
city-colusa,Colusa,city,Colusa,65,3322928,858473,6536,7,true
city-commerce,Commerce,city,Los Angeles,450,20989583,5433532,12146,5,false
city-compton,Compton,city,Los Angeles,390,32134545,10610663,93692,8,false
city-concord,Concord,city,Contra Costa,693,59850918,16441067,122650,7,false
city-corcoran,Corcoran,city,Kings,121,5346026,1318634,21612,5,false
city-corning,Corning,city,Tehama,72,4367402,940822,8268,8,false
