# Citizen Ledger — K-12 schools — COMPLETE LAYER EXPORT
# Source dataset: California Department of Education — SACS unaudited actuals, Current Expense of Education, and LCFF summary data
# Accounting basis: Unaudited actual expenditures as filed under the state's Standardized Account Code Structure (SACS); Current Expense of Education
# Gate tier: GATED TO THE CENT for school districts, against the Department of Education's published Current Expense of Education. County offices and charter schools are RECORDS ONLY — the Department excludes them from its per-pupil statistic and so does the Ledger
# Units: dollars; ADA in average daily attendance
# Measured as: UNAUDITED ACTUAL EXPENDITURES AS FILED UNDER THE STATE'S STANDARDIZED ACCOUNT CODE STRUCTURE (SACS) · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED TO THE CENT FOR SCHOOL DISTRICTS, AGAINST THE DEPARTMENT OF EDUCATION'S PUBLISHED CURRENT EXPENSE OF EDUCATION
# Data generated: 2026-07-25
# Exported: 2026-07-31
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# record_type distinguishes district / county-office / charter. Only district rows enter any per-pupil comparison; do not compute one across record types.
# revenue_tier states the tier of that row's revenue figures, which is NOT the same tier as the expenditure figures beside them.
# Function columns: exp_instruction_usd = Instruction; exp_instrRelated_usd = Instruction-related services; exp_pupilServices_usd = Pupil services; exp_ancillary_usd = Ancillary services; exp_community_usd = Community services; exp_enterprise_usd = Enterprise; exp_genAdmin_usd = General administration; exp_plant_usd = Plant services; exp_otherOutgo_usd = Other outgo
slug,record_type,name,county,district_type,cds,nces,fiscal_year,ada,current_expense_usd,ce_published_usd,revenue_tier,rev_lcffStateAid_usd,rev_propertyTaxes_usd,rev_lcffTransfers_usd,rev_otherState_usd,rev_localOther_usd,rev_federal_usd,exp_instruction_usd,exp_instrRelated_usd,exp_pupilServices_usd,exp_ancillary_usd,exp_community_usd,exp_enterprise_usd,exp_genAdmin_usd,exp_plant_usd,exp_otherOutgo_usd
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2016-17,20041.91,208627000.28,208627000.28,as-filed,140009514.96,34646504.14,,42636400.99,22138951.68,18389722.69,133941391.49,24550712.31,16710318.06,,,,11490556.23,21934022.19,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2017-18,19855.27,215049026.78,215049026.78,as-filed,139898444.14,37661678.28,,43020217.2,24193715.16,18690424.76,140691521.06,23551742.47,17204078.34,,,,11690023.54,21911661.37,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2018-19,19754.36,230685270.33,230685270.33,as-filed,149539053,37201347.72,,46459768.14,24467658.3,22460141.93,147542116.88,27169027.28,19510540.08,,,,13128676.12,23334909.97,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2019-20,19622.75,232209542.67,232209542.67,as-filed,153861005.35,37827871.65,,44421865.87,37526154.37,21411559.37,150869677.08,26966043.13,20896592.34,,,,12370980.22,21106249.9,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2020-21,19633.75,233659807.06,233659807.06,as-filed,150133831.4,42384592.6,,57420332.64,27355824.59,28017412.9,154646725.6,24661214.39,19845869.03,,,641.27,13662446.5,20842910.27,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2021-22,17579.51,265520401.45,265520401.45,as-filed,163222670.25,42360921.49,,66695694.77,36488185.14,39229751.66,171698751.6,30524874.76,24496945,,,3961.8,15023890.62,23771977.67,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2022-23,17366.54,291143386.12,291143386.12,as-filed,182803023.24,48192389.76,,101749743.04,56439689.25,35920091,179891466.3,36590412.74,30166586.29,235957.38,,,17513513.13,26745450.28,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2023-24,17154.18,322971826.63,322971826.63,as-filed,188974740.25,50792211.51,,77808738.15,53323841.53,42215439.67,202594919.53,40208420.58,32991946.11,-92,,,18788540.04,28388092.37,
abc-unified,district,ABC Unified,Los Angeles,Unified,1964212,0601620,2024-25,16761.39,331301392.92,331301392.92,as-filed,180576458.81,53066117.7,,80819650.12,55354132.94,23072292.41,194651726.18,43299993.81,35156342.02,855.1,,,27559478.32,30632997.49,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2016-17,5287.7,68696851.74,68696851.74,as-filed,4715724.95,42776472.74,1229696,6275098.35,34469704.54,1603658.87,41446310.94,7945650.31,6990693.05,1441650.92,,7410,3593710.82,7271425.7,
